#xi phi g4
-7.900000 6.267477 0.999753
-7.800000 0.000000 1.000000
-7.800000 0.015708 0.999753
-7.800000 0.031416 0.999014
-7.800000 0.047124 0.997786
-7.800000 0.062832 0.996073
-7.800000 0.078540 0.993882
-7.800000 0.094248 0.991222
-7.800000 0.109956 0.988103
-7.800000 0.125664 0.984538
-7.800000 0.141372 0.980541
-7.800000 0.157080 0.976127
-7.800000 0.172788 0.971314
-7.800000 0.188496 0.966121
-7.800000 0.204204 0.960568
-7.800000 0.219911 0.954678
-7.800000 0.235619 0.948473
-7.800000 0.251327 0.941978
-7.800000 0.267035 0.935219
-7.800000 0.282743 0.928222
-7.800000 0.298451 0.921016
-7.800000 0.314159 0.913627
-7.800000 0.329867 0.906086
-7.800000 0.345575 0.898423
-7.800000 0.361283 0.890667
-7.800000 0.376991 0.882849
-7.800000 0.392699 0.875000
-7.800000 0.408407 0.867151
-7.800000 0.424115 0.859333
-7.800000 0.439823 0.851577
-7.800000 0.455531 0.843914
-7.800000 0.471239 0.836373
-7.800000 0.486947 0.828984
-7.800000 0.502655 0.821777
-7.800000 0.518363 0.814781
-7.800000 0.534071 0.808022
-7.800000 0.549779 0.801527
-7.800000 0.565487 0.795322
-7.800000 0.581195 0.789431
-7.800000 0.596903 0.783879
-7.800000 0.612611 0.778686
-7.800000 0.628319 0.773873
-7.800000 0.644026 0.769459
-7.800000 0.659734 0.765462
-7.800000 0.675442 0.761896
-7.800000 0.691150 0.758778
-7.800000 0.706858 0.756118
-7.800000 0.722566 0.753927
-7.800000 0.738274 0.752214
-7.800000 0.753982 0.750985
-7.800000 0.769690 0.750246
-7.800000 0.785398 0.750000
-7.800000 0.801106 0.750246
-7.800000 0.816814 0.750985
-7.800000 0.832522 0.752214
-7.800000 0.848230 0.753927
-7.800000 0.863938 0.756118
-7.800000 0.879646 0.758778
-7.800000 0.895354 0.761896
-7.800000 0.911062 0.765462
-7.800000 0.926770 0.769459
-7.800000 0.942478 0.773873
-7.800000 0.958186 0.778686
-7.800000 0.973894 0.783879
-7.800000 0.989602 0.789431
-7.800000 1.005310 0.795322
-7.800000 1.021018 0.801527
-7.800000 1.036726 0.808022
-7.800000 1.052434 0.814781
-7.800000 1.068142 0.821777
-7.800000 1.083849 0.828984
-7.800000 1.099557 0.836373
